CCAA;Mortalidad;ingresados_hosp;ingresados_UCI
Madrid;0.0237841403527476;0.00350981816243445;0.000794581520399256
Cataluña;0.0224859681945744;0.00374961022762707;0.00374961022762707
Andalucia;0.0179759664465026;0.00250298266976618;0.000637532850366325
C.Valenciana;0.0181255063903191;0.00128590470714304;0.000428634902381015
C.Leon;0.0311742076775672;0.0025694347723769;0.00080685054534452
C. La Mancha;0.0331031516292912;0.00140666596914635;0.000441762866343482
Pais Vasco;0.0247058138556984;0.00289172526669211;0.000614572483972597
Galicia;0.0199003661456133;0.00269328263624842;0.000642515138712857
Aragon;0.0307486260564356;0.00264166628180853;0.000526485937283517
Murcia;0.0143232809265372;0.00129618232343013;0.000503552845073575
Extremadura;0.0250737250953032;0.000575415377975976;0.000201395382291592
Baleares;0.0129457268504618;0.00190741950866286;0.000618145211140743
Navarra;0.0213158907272028;0.0012312427856868;0.000327048864948057
Asturias;0.0402790780616112;0.00753421604030137;0.00227363916009095
Canarias;0.0145639011618393;0.00661570470112444;0.00194029501835098
La Rioja;0.0264776097808001;0.00195326629530493;0.000723431961224047
Cantabria;0.0210400478182905;0.00314803745766089;0.00075712293285515
Melilla;0.0102111218435215;0.00151786946322616;0.000551952532082241
Ceuta;0.0179316096747289;0.00417014178482068;0.00187656380316931
